"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-15","0.9"," 1502"," 1449","0.0",,"0.0","0.0",,"14.4","-4.4",,"  200","  220","0.0","4.5","6.3",,,,,,,"    1","    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-16","1.6"," 1214",,"0.0",,"0.0","0.0",,"16.1","2.8",,"   90",,"0.0","3.6",,,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-17","6.2"," 1403"," 1643","0.0",,"0.0","0.0",,"21.7","1.7",,"  200","  200","0.0","11.2","14.3",,,,,,,"    1","    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-18","3.4"," 0325"," 0324","0.0",,"0.0","0.0",,"15.6","2.2",,"   20","   20","0.0","9.4","11.6",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-19","4.3"," 1619"," 1613","0.0",,"0.0","0.0",,"3.3","-5.0",,"  320","  340","0.0","8.9","11.6",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-20","1.4"," 1435"," 1636","0.0",,"0.0","0.0",,"5.6","-7.2",,"  140","  210","0.0","4.5","9.8",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-21","2.6"," 1538"," 1309","0.0",,"3.0","0.0",,"13.3","-0.6",,"  240","  190","0.0","6.3","8.0",,,,,,,,"    1",,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-22","4.8"," 2047"," 2019","0.0",,"0.0","0.0",,"8.9","-0.6",,"   80","   60","0.0","8.9","10.7",,,,,,,"    1","    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-23","8.1"," 2135"," 1958","0.0",,"0.0","0.0",,"10.6","-3.3",,"  110","  110","0.0","12.5","15.6",,,,,"    1",,,,,,,,"    1",,"    1",,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-24","8.7"," 1759"," 1759","0.0",,"0.0","0.0",,"13.3","1.7",,"  120","  120","0.0","13.0","16.5",,,,,"    1",,,,,,,,"    1",,,"    1",,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-25","5.7"," 1622"," 1622","1.0",,"0.0","0.0",,"15.6","3.3",,"  260","  260","0.0","11.2","13.9","    1",,,,"    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-26","3.7"," 1531"," 1503","0.0",,"0.0","0.0",,"12.8","2.8",,"  270","  310","0.0","9.4","11.2",,,,,,,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-27","3.7"," 2041"," 1538","0.0",,"0.0","0.0",,"7.8","-1.7",,"  330","  290","0.0","6.3","7.6",,,,,,,"    1","    1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2009-03-28","6.2"," 2151"," 2151","5.3",,"0.0","0.0",,"10.0","-3.3",,"   70","   60","0.0","12.5","16.1","    1",,,,"    1",,,,,,"    1",,"    1",,"    1","    1",,
