collection_id,frog_id,gosner_stage,tail_length,frog_comments,abnormal,bleeding_injury,skeletal_abnormality,eye_abnormality,surface_abnormality,site,date,year,coll_date,other_invert_relative_density,dragonfly_relative_density,detectable_analytes
KNA14-RASY-073112,50,stage 43,24,"left forelimb missing at elbow, open wound",Yes,Yes,Yes,No,No,KNA14,7/31/12,12,6/5/12,1610,113,33
KNA215-RASY-073112,25,stage 45,5,"left hind foot appears broken-toes not properly articulated or moving, redness",Yes,Yes,Yes,No,No,KNA215,7/31/12,12,6/5/12,1150,35,37
KNA17-RASY-080312,49,stage 43,27,left hind limb ~5mm overall length,Yes,No,Yes,No,No,KNA17,8/3/12,12,6/5/12,1325,44,28.666666666666668
KNA1031-RASY-072912,37,stage 43,24,left hind limb <10mm (about the size of right femur portion),Yes,No,Yes,No,No,KPB1031,7/29/12,12,6/2/12,260,23,19.666666666666668
KNA1031-RASY-072912,47,stage 42,29,left hind limb <10mm (about the size of right femur portion),Yes,No,Yes,No,No,KPB1031,7/29/12,12,6/2/12,260,23,19.666666666666668
KNA01-RASY-080112,47,stage 45,2,left hind limb <10mm in total length; foot curves back against thigh,Yes,No,Yes,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA1031-RASY-072912,28,stage 42,31,left hind limb <5mm (smaller than femur portion on right),Yes,No,Yes,No,No,KPB1031,7/29/12,12,6/2/12,260,23,19.666666666666668
KNA90-RASY-072312,59,stage 43,26,left hind limb is smaller; all digits present but several are curled,Yes,No,Yes,No,No,KNA90,7/23/12,12,6/3/12,2917,100,16.666666666666668
KNA1031-RASY-072912,48,stage 43,26,left hind limb missing,Yes,No,Yes,No,No,KPB1031,7/29/12,12,6/2/12,260,23,19.666666666666668
KNA1042-RASY-080212,14,stage 45,1,"left hind limb missing, no open wound",Yes,No,Yes,No,No,DNR1042,8/2/12,12,6/2/12,1507,109,30
KNA1012-RASY-072512,36,stage 42,36,"left hind limb missing, no open wound observed",Yes,No,Yes,No,No,KPB1012,7/25/12,12,6/5/12,521,12,13.666666666666666
KNA1057-RASY-081012,6,stage 46,0,"Left hind limb missing, no open wound, small scar",Yes,No,Yes,No,No,KPB1057,8/10/12,12,6/3/12,756,8,22.666666666666668
KNA1062-RASY-081012,44,stage 46,0,"Left hind limb missing, no open wound.",Yes,No,Yes,No,No,KNA1062,8/10/12,12,6/1/12,1343,12,34.333333333333336
KNA14-RASY-073112,49,stage 43,27,"left limb missing at shoulder, open wound",Yes,Yes,Yes,No,No,KNA14,7/31/12,12,6/5/12,1610,113,33
KNA1024-RASY-080812,50,stage 44,22,"Left thigh is half the size of the right, there appears to be a knee joint with another section corresponding to the calf but only 1mm in length with another small appendage attached that could be an undeveloped foot.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA1024-RASY-080812,48,stage 43,33,"Left thigh is slightly smaller than the right, the calf is much smaller and underdeveloped, foot is not fully developed, only four digits are distinguishable.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA1006-RASY-071912,35,stage 44,22,longest digit on right hind foot shortened-healed,Yes,No,Yes,No,No,KPB1006,7/19/12,12,6/4/12,962,25,23.666666666666668
KNA1012-RASY-072512,13,stage 46,0,lower half of right eye is black,Yes,No,No,Yes,No,KPB1012,7/25/12,12,6/5/12,521,12,13.666666666666666
KNA1024-RASY-080812,44,stage 45,10,"Missing right hand, appears healed.",Yes,No,Yes,No,No,KNA1024,8/8/12,12,6/7/12,503,8,29.333333333333332
KNA1040-RASY-072912,4,stage 45,1,open wound with bone protruding- 4mm of right thigh present,Yes,Yes,Yes,No,No,KPB1040,7/29/12,12,6/1/12,495,6,21.666666666666668
KNA11119-RASY-081612,7,stage 46,0,"Portion of left foot missing (~1mm present) just below ankle bone, no open wound.",Yes,No,Yes,No,No,KNA111-19,8/16/12,12,6/6/12,171,6,37.333333333333336
KNA99-RASY-080812,53,stage 44,16,redness on digits 1-3 of left hind foot- curled,Yes,Yes,Yes,No,No,KNA99,8/8/12,12,6/7/12,402,NA,15.666666666666666
KNA01-RASY-080112,51,stage 42,39,redness towards tip of tail,Yes,Yes,No,No,No,KNA01,8/1/12,12,6/5/12,700,66,32.333333333333336
KNA08-RASY-080112,54,stage 43,35,"right calf missing at knee joint, bone protruding below 2mm of part of calf present",Yes,No,Yes,No,No,KNA08,8/1/12,12,6/5/12,1196,31,33
KNA1017-RASY-080812,50,stage 42,36,"Right eye is missing, appears healed over.",Yes,No,No,Yes,No,KNA1017,8/8/12,12,6/7/12,545,NA,12.666666666666666
KNA1042-RASY-080212,23,stage 46,0,right foot missing 1mm below ankle joint,Yes,No,Yes,No,No,DNR1042,8/2/12,12,6/2/12,1507,109,30
