Tag ID,Tag Type,Field Site,Duration,Depth,Descent_Rate,Ascent_Rate,Descent_Pitch,Ascent_Pitch,Var_Pitch,Bottom_Duration,Surface_Duration,Var_Heading,Var_Roll,ODBA,Wiggliness
ha13_176a,dtag,Jan Mayen,758.6,92.548351,0.348171171,0.261462826,-0.475502583,0.182253838,0.064228896,3.953333333,2.85,0.182813723,0.01727719,0.819056143,0.248980821
ha13_176a,dtag,Jan Mayen,280.4,35.641326,0.409629972,0.151180155,-0.241809878,0.097614515,0.042402439,0.376666667,1.47,0.527854356,0.057720534,0.797774167,0.240863466
ha13_176a,dtag,Jan Mayen,672,99.684477,0.215147403,0.542825084,-0.077330987,0.475157071,0.04820922,2.186666667,3.453333333,0.341578962,0.105039324,1.179153256,0.235214326
ha13_176a,dtag,Jan Mayen,5662.4,2339.43099,1.265639142,0.712186216,-0.610787504,0.472177903,0.168582215,21.69666667,3.873333333,0.311477391,0.059133478,1.873373176,0.192402179
ha13_176a,dtag,Jan Mayen,1059.8,192.502936,0.796435758,0.383919025,-0.290663916,0.274792331,0.04293273,7.18,5.36,0.253698884,0.072492571,1.280528607,0.076423305
ha13_176a,dtag,Jan Mayen,1397.6,184.163923,0.433145749,0.338380037,-0.191041814,0.262713963,0.045214706,9.606666667,5.936666667,0.371156519,0.033681515,1.744735931,0.155383444
ha13_176a,dtag,Jan Mayen,1388.8,265.828326,0.471659603,0.41324311,-0.290647894,0.328316655,0.049826102,6.08,5.013333333,0.08380338,0.012731457,1.365727883,0.192617947
ha13_176a,dtag,Jan Mayen,1514.6,249.202509,0.395987172,0.407897108,-0.336745521,0.300675549,0.047209066,7.71,4.52,0.037148527,0.017108743,1.249395419,0.174321355
ha13_176a,dtag,Jan Mayen,1410.4,189.295562,0.370489866,0.431329494,-0.356662114,0.356387441,0.054008849,10.09,2.903333333,0.154586802,0.034099443,1.056626465,0.210090713
ha13_176a,dtag,Jan Mayen,1238,156.903557,0.326808408,0.457593942,-0.315203903,0.360868967,0.047768492,9.006666667,2.473333333,0.095050414,0.052528385,0.886246996,0.254234527
ha13_176a,dtag,Jan Mayen,1487.2,162.535041,0.257164256,0.263924116,-0.249394927,0.246570199,0.048060515,7.166666667,2.526666667,0.11780313,0.037779387,0.900112673,0.261112739
ha13_176a,dtag,Jan Mayen,1437.6,204.817522,0.305830125,0.354901497,-0.339197396,0.352197458,0.078565272,6.323333333,2.733333333,0.247374643,0.046273003,0.94217138,0.274033849
ha13_176a,dtag,Jan Mayen,1265.6,171.525915,0.317951583,0.326102513,-0.369453308,0.388217598,0.077721917,6.123333333,2.363333333,0.115434483,0.028699307,0.863048761,0.229878465
