"","ID","Lead","Copper","Alkalinity","Fluoride","Iron","Cadmium","Calcium","Sodium","Aluminum","Water_Filter","Decimal_Date","Month"
"44","84.2016-02-12",1.6346,47.6066666666667,71,0.57,0.156606666666667,3.76466666666667,11.7173333333333,23.002,0.2,"No Filter",2016.11532331512,"Feb"
"45","105.2016-02-12",3.7114,37.7686666666667,72,0.61,0.0872,2,26.9466666666667,4.80733333333333,0.202666666666667,"No Filter",2016.11532331512,"Feb"
"46","99.2016-02-12",4.58466666666667,32.484,72,0.61,0.0832,2,27.1533333333333,5.026,0.2,"No Filter",2016.11805555556,"Feb"
"47","61.2016-02-13",13.0126666666667,20.6806666666667,76,0.54,0.1646,2,27.2133333333333,4.80133333333333,0.2,"Aerator On",2016.12352003643,"Feb"
"48","38.2016-02-12",1.37505555555556,8.82666666666667,73,0.61,0.0823888888888889,2.01222222222222,27.7055555555556,5.01333333333333,0.2,"Aerator On",2016.12352003643,"Feb"
"49","158.2016-02-15",6.75333333333333,8.46666666666667,75,0.6,0.0861333333333333,1,27.1466666666667,4.834,0.0674666666666667,"No Filter",2016.12625227687,"Feb"
"50","130.2016-02-15",118.593333333333,38.58,74,0.62,0.261666666666667,1.01333333333333,27.4533333333333,4.932,0.210466666666667,"No Filter",2016.12625227687,"Feb"
"51","27.2016-02-16",0.421333333333333,14.8866666666667,73,0.61,0.0522,1,26.98,4.742,0.05,"No Filter",2016.12625227687,"Feb"
"52","90.2016-02-16",0.925333333333333,28.9533333333333,75,0.6,0.150866666666667,1,26.7933333333333,4.76266666666667,0.0872,"No Filter",2016.12625227687,"Feb"
"53","49.2016-02-16",4.34873333333333,16.714,72,0.62,0.08,2,29.9533333333333,5.53866666666667,0.2,"No Filter",2016.1289845173,"Feb"
"54","91.2016-02-17",0.517866666666667,30.802,72,0.59,0.08,2,27.4066666666667,4.98933333333333,0.2,"No Filter",2016.1289845173,"Feb"
"55","226.2016-02-17",57.7588888888889,58.7266666666667,74,0.64,0.229883333333333,2,28.2388888888889,5.10111111111111,0.2,"No Filter",2016.13171675774,"Feb"
"56","63.2016-02-18",13.59,31.98,73,0.6,0.164133333333333,2,28.5333333333333,4.748,0.2,"No Filter",2016.13171675774,"Feb"
"57","225.2016-02-18",0.522666666666667,155.513333333333,73,0.61,0.0993333333333333,2,28.1666666666667,4.87666666666667,0.2,"No Filter",2016.13171675774,"Feb"
"58","117.2016-02-18",0.5,5.97466666666667,74,0.62,0.08,2,26.1466666666667,4.69066666666667,0.2,"No Filter",2016.13171675774,"Feb"
"59","229.2016-02-18",2.17,88.5013333333333,74,0.61,0.0816066666666667,2,31.1266666666667,5.70733333333333,0.2,"No Filter",2016.13171675774,"Feb"
"60","111.2016-02-18",6.684,2.84666666666667,74,0.59,0.0928,2.83333333333333,27.98,5.00466666666667,0.2,"No Filter",2016.13171675774,"Feb"
"61","145.2016-02-18",2.1476,17.0246666666667,72,0.62,0.087,2,27.7466666666667,4.96,0.2,"No Filter",2016.13171675774,"Feb"
"62","32.2016-02-18",3.87913333333333,61.8846666666667,74,0.64,0.158433333333333,2,27,4.90133333333333,0.208,"No Filter",2016.13444899818,"Feb"
"63","17.2016-02-19",0.634933333333333,23.058,73,0.62,0.08,2,27.2133333333333,4.88266666666667,0.2,"No Filter",2016.13444899818,"Feb"
"64","241.2016-02-19",1.74917647058824,56.9,73,0.64,0.08,2,26.2411764705882,4.75117647058824,0.202058823529412,"No Filter",2016.13444899818,"Feb"
"65","152.2016-02-19",5.0650625,5.353125,73,0.63,0.105866666666667,2.49,29.5066666666667,5.32666666666667,0.201666666666667,"No Filter",2016.13718123862,"Feb"
"66","211.2016-02-20",3.2174,16.9946666666667,74,0.59,0.0882,2,26.5933333333333,4.69,0.2,"Aerator On",2016.13718123862,"Feb"
"67","88.2016-02-20",227.200666666667,82.4606666666667,74,0.64,0.0893666666666667,2,29.3466666666667,5.29,0.2,"No Filter",2016.13718123862,"Feb"
"68","200.2016-02-20",14.1333333333333,15.08,75,0.59,0.107333333333333,0.865333333333333,26.3333333333333,4.48,0.1,"No Filter",2016.13991347905,"Feb"
"70","471.2016-02-21",0.6422,122.433333333333,75,0.57,0.208333333333333,2,27.2933333333333,4.91266666666667,0.2,"Aerator On",2016.13991347905,"Feb"
"71","257.2016-02-21",27.9,50.5333333333333,75,0.59,0.136666666666667,0.5,25.2,4.88,0.100666666666667,"No Filter",2016.14264571949,"Feb"
"72","81.2016-01-28",2.454,32.4533333333333,73,0.6,0.105333333333333,0.5,26.2666666666667,4.39333333333333,0.104666666666667,"No Filter",2016.14264571949,"Feb"
"73","253.2016-02-22",5.62,100.466666666667,67,0.53,0.114666666666667,0.5,26.2,4.79333333333333,0.1,"No Filter",2016.14537795993,"Feb"
"74","255.2016-02-22",4.18,52.1733333333333,72,0.64,0.1,0.5,26.4,4.39333333333333,0.107333333333333,"No Filter",2016.14537795993,"Feb"
"75","193.2016-02-03",109.346666666667,112.066666666667,73,0.62,0.316666666666667,0.5,26.4666666666667,4.43333333333333,0.1,"No Filter",2016.14537795993,"Feb"
"77","97.2016-02-03",12.45,70.7333333333333,75,0.6,0.0808611111111111,2,26.9333333333333,4.87055555555556,0.2,"No Filter",2016.14811020036,"Feb"
"78","156.2016-02-04",1.6669375,21.060625,75,0.6,0.0954,2,26.9133333333333,4.90866666666667,0.2,"No Filter",2016.1508424408,"Feb"
"79","25.2016-02-04",0.706666666666667,7.72866666666667,73,0.6,0.08,2,24.8933333333333,4.59866666666667,0.2,"Aerator On",2016.15357468124,"Feb"
"80","122.2016-02-05",29.8888235294118,62.4058823529412,73,0.59,0.284229411764706,2,26.7823529411765,4.76411764705882,0.221176470588235,"No Filter",2016.15357468124,"Feb"
"81","141.2016-02-05",10.2445,48.35,75,0.59,0.082055,2,26.785,4.82,0.2,"No Filter",2016.15357468124,"Feb"
"82","8.2016-02-07",4.00813333333333,89.9666666666667,68,0.59,0.1026,2,26.48,4.762,0.2,"No Filter",2016.15357468124,"Feb"
"83","45.2016-02-07",0.668125,19.285,75,0.59,0.0814666666666667,2,27.0666666666667,4.85933333333333,0.2,"No Filter",2016.15630692168,"Feb"
"84","109.2016-02-08",1.73857142857143,37.8904761904762,76,0.56,0.204380952380952,1,26.7809523809524,4.70619047619048,0.0520476190476191,"No Filter",2016.15903916211,"Feb"
"85","114.2016-01-28",14.0473333333333,34.1266666666667,76,0.57,0.154066666666667,1,27.5866666666667,4.72533333333333,0.05,"No Filter",2016.16177140255,"Feb"
"87","44.2016-02-08",10.2761111111111,19.8094444444444,69,0.54,0.0882777777777778,2,27.1833333333333,4.72444444444444,0.2,"No Filter",2016.17543260474,"Mar"
"88","220.2016-02-16",2.1762,56.4993333333333,69,0.53,0.08,2,26.9866666666667,4.61933333333333,0.2,"No Filter",2016.17543260474,"Mar"
"89","37.2016-02-08",1.14288888888889,14.1977777777778,70,0.62,0.08,2,26.4166666666667,4.73277777777778,0.2,"No Filter",2016.19182604736,"Mar"
"90","110.2016-01-28",24.5013333333333,54.0106666666667,72,0.61,0.1908,2,26.48,4.568,0.2,"No Filter",2016.20264116576,"Mar"
"91","79.2016-02-05",35.5253333333333,70.4106666666667,77,0.58,0.242953333333333,2,26.34,4.53733333333333,0.2012,"No Filter",2016.20537340619,"Mar"
"92","83.2016-02-05",0.883888888888889,115.066666666667,74,0.59,0.164783333333333,2,27.9333333333333,5.06277777777778,0.212722222222222,"Aerator On",2016.36111111111,"May"
